Contract Title,CN ID,Value,Currency,Start Date,End Date,Supplier Name,Supplier ABN,Supplier Locality,Supplier Region,Supplier Postcode,Supplier Email,Buyer/Agency,Matched Keyword,AusTender Link
IT Training Program,CN4266617,22000.00,AUD,2026-07-26T14:00:00Z,2027-10-30T13:00:00Z,HOLBERTON SCHOOL AUSTRALIA,46652320075,MELBOURNE,VIC,3000,CONTRACTS@FINANCE.GOV.AU,Department of Finance,training program,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4266617
Disability and neuro-inclusion eLearning training Development of disability confidence module,CN4265487,69300.00,AUD,2026-07-06T14:00:00Z,2027-01-06T13:00:00Z,Wisdom Learning,90100891307,Fairburn,ACT,2609,,Attorney-General's Department,elearning,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4265487
Landing Pad E-Learning Content,CN4265275,51798.60,AUD,2026-06-30T14:00:00Z,2027-06-29T14:00:00Z,Smartsaas LLC,,TORONTO,Outside Australia,M6P 1Z2,,Austrade,e-learning,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4265275
Provision of Learning and Development - TryHackMe Cybersecurity Training Platform,CN4263948,36000.00,AUD,2026-08-17T14:00:00Z,2027-08-16T14:00:00Z,TRYHACKME LTD,,LONDON UK,Outside Australia,EC1V 2NX,ATOPROCUREMENTANDLEASING@ATO.GOV.AU,Australian Taxation Office,training platform,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4263948
Performance and Learning Management System,CN4263828,350868.11,AUD,2026-08-02T14:00:00Z,2029-08-01T14:00:00Z,ACORN PLMS PTY LTD,47600787139,CANBERRA,ACT,2601,help@digitalhealth.gov.au,Australian Digital Health Agency,learning management system,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4263828
Frontline Leadership Training Program - Australian Antarctic Division,CN4263812,352110.00,AUD,2026-08-02T14:00:00Z,2027-06-29T14:00:00Z,UNIVERSITY OF NEW SOUTH WALES,57195873179,SYDNEY,NSW,2052,procurement@dcceew.gov.au,"Department of Climate Change, Energy, the Environment and Water",training program,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4263812
Face-to-face training program,CN4262067,14630.00,AUD,2026-07-05T14:00:00Z,2026-09-29T14:00:00Z,The National Institute of Dramatic Art t/a NIDA Corporate Training,99000257741,Kensington,NSW,2033,procurement@austrac.gov.au,Australian Transaction Reports and Analysis Centre,training program,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4262067
"Design and development of high-quality, interactive eLearning modules",CN4261893,77000.00,AUD,2026-06-21T14:00:00Z,2026-12-15T13:00:00Z,AEX LEARNING SOLUTIONS PTY LTD aEX Learning Solutions,61607326705,Sydney,NSW,2000,enquiries@CDC.gov.au,Australian Centre for Disease Control,elearning,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4261893
Working at Level Training Program,CN4260556,42680.00,AUD,2026-06-09T14:00:00Z,2027-06-08T14:00:00Z,Wisdom Learning Pty Ltd,90100891307,Barton,ACT,2600,procurementenquiries@acma.gov.au,Australian Communications and Media Authority,training program,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4260556
Effective complaint management eLearning,CN4259647,52299.50,AUD,2026-07-05T14:00:00Z,2027-06-29T14:00:00Z,OFFICE OF THE OMBUDSMAN T/A NSW OMBUDSMAN'S OFFICE,76325886267,Sydney,NSW,2000,contactus@sportintegrity.gov.au,Sport Integrity Australia,elearning,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4259647
July to December 2026 Exhale Professional Development courses,CN4258863,19360.00,AUD,2026-06-30T14:00:00Z,2026-12-30T13:00:00Z,Exhale Coaching and Consulting Pty Ltd,20149668011,Braddon,ACT,2612,procurement@naa.gov.au,National Archives of Australia,professional development,https://www.tenders.gov.au/Search/KeywordSearch?keyword=CN4258863
